Date/Time,mean_water_velocity_ft/s,gage_height_ft,discharge_ft3/s
08/01/2015 00:00   CDT,0.69,5.55,624
08/01/2015 00:15   CDT,0.68,5.55,609
08/01/2015 00:30   CDT,0.71,5.55,639
08/01/2015 00:45   CDT,0.72,5.55,647
08/01/2015 01:00   CDT,0.72,5.55,647
08/01/2015 01:15   CDT,0.76,5.55,684
08/01/2015 01:30   CDT,0.74,5.54,668
08/01/2015 01:45   CDT,0.79,5.54,706
08/01/2015 02:00   CDT,0.79,5.53,713
08/01/2015 02:15   CDT,0.78,5.53,698
08/01/2015 02:30   CDT,0.79,5.52,712
08/01/2015 02:45   CDT,0.81,5.52,727
08/01/2015 03:00   CDT,0.79,5.51,704
08/01/2015 03:15   CDT,0.82,5.51,734
08/01/2015 03:30   CDT,0.81,5.50,725
08/01/2015 03:45   CDT,0.80,5.50,718
08/01/2015 04:00   CDT,0.83,5.49,740
08/01/2015 04:15   CDT,0.84,5.48,746
08/01/2015 04:30   CDT,0.83,5.48,739
08/01/2015 04:45   CDT,0.87,5.47,775
08/01/2015 05:00   CDT,0.84,5.46,752
08/01/2015 05:15   CDT,0.89,5.45,796
08/01/2015 05:30   CDT,0.87,5.45,774
08/01/2015 05:45   CDT,0.91,5.44,810
08/01/2015 06:00   CDT,0.85,5.43,757
08/01/2015 06:15   CDT,0.89,5.42,786
08/01/2015 06:30   CDT,0.86,5.42,764
08/01/2015 06:45   CDT,0.89,5.40,784
08/01/2015 07:00   CDT,0.86,5.40,762
08/01/2015 07:15   CDT,0.90,5.39,798
08/01/2015 07:30   CDT,0.91,5.38,805
08/01/2015 07:45   CDT,0.89,5.38,790
08/01/2015 08:00   CDT,0.89,5.36,781
08/01/2015 08:15   CDT,0.93,5.36,818
08/01/2015 08:30   CDT,0.92,5.35,810
08/01/2015 08:45   CDT,0.89,5.34,779
08/01/2015 09:00   CDT,0.92,5.34,809
08/01/2015 09:15   CDT,0.94,5.33,823
08/01/2015 09:30   CDT,0.93,5.32,814
08/01/2015 09:45   CDT,0.95,5.31,836
08/01/2015 10:00   CDT,0.94,5.31,828
08/01/2015 10:15   CDT,0.96,5.31,843
08/01/2015 10:30   CDT,0.94,5.30,827
08/01/2015 10:45   CDT,0.91,5.29,797
08/01/2015 11:00   CDT,0.91,5.29,797
08/01/2015 11:15   CDT,0.96,5.29,841
08/01/2015 11:30   CDT,0.92,5.29,805
08/01/2015 11:45   CDT,0.88,5.30,769
08/01/2015 12:00   CDT,0.92,5.30,805
08/01/2015 12:15   CDT,0.90,5.31,792
08/01/2015 12:30   CDT,0.84,5.30,732
08/01/2015 12:45   CDT,0.89,5.32,785
08/01/2015 13:00   CDT,0.83,5.33,727
08/01/2015 13:15   CDT,0.80,5.35,707
08/01/2015 13:30   CDT,0.80,5.35,707
08/01/2015 13:45   CDT,0.87,5.37,767
08/01/2015 14:00   CDT,0.81,5.38,716
08/01/2015 14:15   CDT,0.80,5.39,710
08/01/2015 14:30   CDT,0.78,5.40,688
08/01/2015 14:45   CDT,0.77,5.42,682
08/01/2015 15:00   CDT,0.74,5.42,660
08/01/2015 15:15   CDT,0.79,5.43,698
08/01/2015 15:30   CDT,0.79,5.45,699
08/01/2015 15:45   CDT,0.72,5.45,640
08/01/2015 16:00   CDT,0.75,5.45,670
08/01/2015 16:15   CDT,0.76,5.46,678
08/01/2015 16:30   CDT,0.74,5.46,663
08/01/2015 16:45   CDT,0.74,5.47,664
08/01/2015 17:00   CDT,0.76,5.46,678
08/01/2015 17:15   CDT,0.77,5.47,686
08/01/2015 17:30   CDT,0.77,5.47,686
08/01/2015 17:45   CDT,0.79,5.46,708
08/01/2015 18:00   CDT,0.77,5.46,685
08/01/2015 18:15   CDT,0.74,5.46,663
08/01/2015 18:30   CDT,0.79,5.46,700
08/01/2015 18:45   CDT,0.79,5.46,708
08/01/2015 19:00   CDT,0.78,5.47,693
08/01/2015 19:15   CDT,0.73,5.46,655
08/01/2015 19:30   CDT,0.76,5.47,678
08/01/2015 19:45   CDT,0.77,5.47,686
08/01/2015 20:00   CDT,0.77,5.47,686
08/01/2015 20:15   CDT,0.79,5.48,702
08/01/2015 20:30   CDT,0.73,5.48,657
08/01/2015 20:45   CDT,0.78,5.49,695
08/01/2015 21:00   CDT,0.79,5.50,710
08/01/2015 21:15   CDT,0.77,5.50,688
08/01/2015 21:30   CDT,0.77,5.52,689
08/01/2015 21:45   CDT,0.74,5.53,668
08/01/2015 22:00   CDT,0.68,5.54,608
08/01/2015 22:15   CDT,0.67,5.56,602
08/01/2015 22:30   CDT,0.68,5.58,611
08/01/2015 22:45   CDT,0.63,5.60,567
08/01/2015 23:00   CDT,0.67,5.61,605
08/01/2015 23:15   CDT,0.57,5.62,515
08/01/2015 23:30   CDT,0.64,5.64,584
08/01/2015 23:45   CDT,0.58,5.64,531
08/02/2015 00:00   CDT,0.66,5.65,600
08/02/2015 00:15   CDT,0.58,5.66,532
08/02/2015 00:30   CDT,0.70,5.66,639
08/02/2015 00:45   CDT,0.65,5.65,592
08/02/2015 01:00   CDT,0.67,5.66,608
08/02/2015 01:15   CDT,0.72,5.65,653
08/02/2015 01:30   CDT,0.69,5.65,630
08/02/2015 01:45   CDT,0.68,5.65,615
08/02/2015 02:00   CDT,0.70,5.64,637
08/02/2015 02:15   CDT,0.78,5.63,705
08/02/2015 02:30   CDT,0.72,5.63,652
08/02/2015 02:45   CDT,0.80,5.62,727
08/02/2015 03:00   CDT,0.76,5.62,689
08/02/2015 03:15   CDT,0.78,5.61,704
08/02/2015 03:30   CDT,0.75,5.60,680
08/02/2015 03:45   CDT,0.79,5.59,717
08/02/2015 04:00   CDT,0.79,5.58,716
08/02/2015 04:15   CDT,0.84,5.58,762
08/02/2015 04:30   CDT,0.82,5.57,738
08/02/2015 04:45   CDT,0.87,5.56,783
08/02/2015 05:00   CDT,0.83,5.56,745
08/02/2015 05:15   CDT,0.84,5.55,752
08/02/2015 05:30   CDT,0.89,5.54,796
08/02/2015 05:45   CDT,0.85,5.53,765
08/02/2015 06:00   CDT,0.83,5.52,742
08/02/2015 06:15   CDT,0.86,5.51,771
08/02/2015 06:30   CDT,0.85,5.51,764
08/02/2015 06:45   CDT,0.84,5.50,755
08/02/2015 07:00   CDT,0.88,5.50,785
08/02/2015 07:15   CDT,0.89,5.48,799
08/02/2015 07:30   CDT,0.89,5.47,798
08/02/2015 07:45   CDT,0.89,5.47,790
08/02/2015 08:00   CDT,0.90,5.46,804
08/02/2015 08:15   CDT,0.89,5.45,796
08/02/2015 08:30   CDT,0.89,5.45,796
08/02/2015 08:45   CDT,0.90,5.43,802
08/02/2015 09:00   CDT,0.95,5.42,845
08/02/2015 09:15   CDT,0.94,5.42,831
08/02/2015 09:30   CDT,0.94,5.41,830
08/02/2015 09:45   CDT,0.89,5.41,785
08/02/2015 10:00   CDT,0.94,5.40,829
08/02/2015 10:15   CDT,0.89,5.39,791
08/02/2015 10:30   CDT,0.89,5.39,784
08/02/2015 10:45   CDT,0.93,5.39,821
08/02/2015 11:00   CDT,0.87,5.38,768
08/02/2015 11:15   CDT,0.89,5.39,791
08/02/2015 11:30   CDT,0.89,5.40,784
08/02/2015 11:45   CDT,0.82,5.40,725
08/02/2015 12:00   CDT,0.87,5.40,770
08/02/2015 12:15   CDT,0.85,5.41,756
08/02/2015 12:30   CDT,0.82,5.43,728
08/02/2015 12:45   CDT,0.80,5.44,713
08/02/2015 13:00   CDT,0.79,5.45,707
08/02/2015 13:15   CDT,0.73,5.47,649
08/02/2015 13:30   CDT,0.79,5.48,702
08/02/2015 13:45   CDT,0.73,5.50,658
08/02/2015 14:00   CDT,0.74,5.50,666
08/02/2015 14:15   CDT,0.74,5.52,667
08/02/2015 14:30   CDT,0.69,5.54,623
08/02/2015 14:45   CDT,0.69,5.55,624
08/02/2015 15:00   CDT,0.71,5.56,640
08/02/2015 15:15   CDT,0.72,5.57,648
08/02/2015 15:30   CDT,0.71,5.58,641
08/02/2015 15:45   CDT,0.71,5.58,641
08/02/2015 16:00   CDT,0.68,5.59,619
08/02/2015 16:15   CDT,0.70,5.59,634
08/02/2015 16:30   CDT,0.72,5.60,650
08/02/2015 16:45   CDT,0.71,5.60,642
08/02/2015 17:00   CDT,0.73,5.59,657
08/02/2015 17:15   CDT,0.75,5.59,679
08/02/2015 17:30   CDT,0.74,5.58,671
08/02/2015 17:45   CDT,0.72,5.58,649
08/02/2015 18:00   CDT,0.78,5.58,701
08/02/2015 18:15   CDT,0.79,5.57,708
08/02/2015 18:30   CDT,0.75,5.56,677
08/02/2015 18:45   CDT,0.78,5.55,699
08/02/2015 19:00   CDT,0.79,5.55,707
08/02/2015 19:15   CDT,0.80,5.55,722
08/02/2015 19:30   CDT,0.80,5.53,720
08/02/2015 19:45   CDT,0.78,5.54,698
08/02/2015 20:00   CDT,0.79,5.53,705
08/02/2015 20:15   CDT,0.80,5.53,720
08/02/2015 20:30   CDT,0.84,5.52,749
08/02/2015 20:45   CDT,0.86,5.52,772
08/02/2015 21:00   CDT,0.81,5.52,727
08/02/2015 21:15   CDT,0.85,5.52,764
08/02/2015 21:30   CDT,0.83,5.51,741
08/02/2015 21:45   CDT,0.80,5.51,719
08/02/2015 22:00   CDT,0.83,5.51,741
08/02/2015 22:15   CDT,0.82,5.52,734
08/02/2015 22:30   CDT,0.82,5.52,734
08/02/2015 22:45   CDT,0.81,5.52,727
08/02/2015 23:00   CDT,0.79,5.54,706
08/02/2015 23:15   CDT,0.77,5.56,692
08/02/2015 23:30   CDT,0.72,5.57,648
08/02/2015 23:45   CDT,0.76,5.59,687
08/03/2015 00:00   CDT,0.70,5.60,635
08/03/2015 00:15   CDT,0.68,5.62,613
08/03/2015 00:30   CDT,0.69,5.64,630
08/03/2015 00:45   CDT,0.62,5.64,562
08/03/2015 01:00   CDT,0.62,5.66,563
08/03/2015 01:15   CDT,0.67,5.67,609
08/03/2015 01:30   CDT,0.68,5.68,625
