station,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,lat,lon
agricola,-2.3134098,-3.2160873,-1.805089,-1.2660856,-3.1401749,0.898283,3.5011463,2.0379696,-0.15980625,0.9408798,0.59067345,1.003439,-1.8066921,-2.0883179,-4.9086227,-0.5742874,-0.23090744,0.16499329,2.1919003,2.4647522,2.1721745,1.1006165,-0.2539444,30.82,-88.5
andalusia,-3.8134098,-3.7785873,-4.305089,-4.3285856,-3.8276749,-3.039217,-5.1863537,-3.8995304,-3.0973063,0.06587982,-3.7843266,-3.434061,-2.4941921,-1.5883179,0.09137726,-1.0742874,0.58159256,-1.6475067,-2.9955997,-0.2852478,-0.95282555,-0.086883545,-1.0664444,31.29,-86.5
atmore,-4.62591,-4.0285873,-5.117589,-3.7660856,-2.9526749,-2.289217,-2.8738537,-2.3370304,1.5901937,-3.2466202,-2.4718266,-1.746561,-0.30669212,-0.21331787,-0.34612274,0.3632126,-3.4809074,0.7274933,-1.9955997,0.3397522,1.6096745,0.28811646,1.4960556,31.02,-87.4
bayminette,-3.5634098,-4.2160873,-4.617589,-3.7035856,-2.2026749,-2.976717,-1.8738537,4.4754696,-0.22230625,-2.5591202,0.59067345,0.62843895,0.8183079,-0.5258179,-0.03362274,-3.5742874,-0.29340744,-2.0225067,-0.30809975,2.5272522,1.2346745,1.9756165,1.1210556,30.89,-87.8
castleberry,-3.6259098,-3.7160873,-4.180089,-4.5160856,-2.1401749,-3.351717,-3.3113537,-1.3370304,2.6526937,-3.6216202,0.27817345,-1.309061,-0.11919212,-2.0883179,-0.84612274,-1.8242874,-2.1059074,-3.6475067,0.94190025,-2.3477478,1.7346745,1.1631165,-0.9414444,31.3,-87
dixie,-1.5634098,-2.0285873,-2.180089,-3.2660856,-1.9526749,-0.226717,-2.4363537,-0.7120304,-0.90980625,-0.24662018,-2.3468266,-2.496561,-1.0566921,-0.15081787,-0.22112274,0.9882126,1.7690926,-2.5850067,0.0044002533,-0.4727478,-0.95282555,0.72561646,-0.5664444,31.16,-86.7
elberta,-2.5009098,-1.9660873,-2.117589,-2.9535856,-4.827675,-0.976717,-1.9988537,-1.1495304,0.52769375,-2.9341202,2.8406734,-1.809061,1.1933079,0.5366821,-0.72112274,-0.8867874,-1.5434074,-0.5850067,0.19190025,1.4647522,0.85967445,1.0381165,1.3085556,30.41,-87.6
fairhope,-2.3759098,-2.4660873,-3.180089,-5.0160856,-3.3901749,-1.164217,-3.3738537,2.2254696,-0.09730625,2.6283798,1.6531734,2.128439,1.3808079,-0.40081787,-0.34612274,-2.3867874,-1.8559074,-1.3975067,0.0044002533,0.9022522,0.047174454,0.35061646,0.8710556,30.54,-87.9
florala,-2.6884098,-2.9035873,-2.367589,-3.4535856,-3.0151749,-4.351717,-0.7488537,-2.8995304,-2.7848063,-5.43412,1.2781734,-2.059061,-1.5566921,-1.9633179,3.0288773,-2.2617874,-1.7934074,-0.5225067,-0.37059975,-1.5977478,-1.5778255,-0.14938354,-0.1289444,31,-86.3
foley,-2.1884098,-1.8410873,-1.930089,-2.7035856,-4.577675,-1.289217,-1.8738537,-0.8995304,0.34019375,-2.5591202,1.5281734,-1.434061,1.3808079,0.28668213,-0.53362274,-0.8242874,-1.4184074,-0.4600067,0.12940025,1.2147522,0.60967445,0.85061646,1.1210556,30.37,-87.6
